iter	Passed	Remaining
0	132	132145
1	134	66924
2	136	45283
3	138	34397
4	140	27949
5	143	23706
6	145	20690
7	149	18543
8	151	16706
9	154	15299
10	156	14084
11	159	13124
12	161	12298
13	164	11609
14	166	10952
15	169	10407
16	170	9886
17	174	9517
18	177	9166
19	180	8857
20	184	8593
21	187	8330
22	190	8102
23	194	7927
24	198	7738
25	201	7541
26	204	7372
27	207	7219
28	211	7088
29	215	6956
30	218	6842
31	222	6723
32	225	6610
33	228	6488
34	229	6334
35	231	6192
36	234	6111
37	237	6024
38	241	5951
39	243	5847
40	246	5760
41	248	5657
42	250	5575
43	253	5515
44	257	5457
45	259	5383
46	262	5316
47	264	5254
48	268	5207
49	271	5149
50	273	5084
51	275	5028
52	278	4983
53	282	4942
54	285	4903
55	286	4834
56	287	4759
57	290	4722
58	293	4679
59	296	4644
60	299	4613
61	302	4578
62	305	4547
63	308	4510
64	311	4486
65	315	4459
66	317	4422
67	320	4392
68	323	4365
69	325	4326
70	328	4298
71	331	4268
72	333	4230
73	335	4194
74	337	4158
75	339	4128
76	342	4101
77	344	4074
78	346	4044
79	348	4011
80	350	3974
81	351	3936
82	352	3897
83	354	3869
84	357	3845
85	359	3816
86	360	3783
87	361	3742
88	362	3714
89	364	3687
90	366	3660
91	368	3639
92	371	3619
93	373	3598
94	375	3573
95	376	3547
96	378	3520
97	379	3495
98	381	3470
99	383	3449
100	385	3427
101	386	3405
102	388	3385
103	390	3363
104	392	3341
105	394	3324
106	395	3302
107	397	3282
108	399	3264
109	401	3250
110	403	3232
111	405	3212
112	406	3194
113	408	3174
114	409	3155
115	411	3137
116	413	3123
117	415	3103
118	417	3088
119	418	3071
120	420	3057
121	422	3039
122	423	3020
123	425	3004
124	427	2990
125	428	2973
126	430	2956
127	431	2941
128	433	2928
129	434	2910
130	436	2893
131	437	2875
132	438	2859
133	440	2846
134	441	2828
135	443	2817
136	446	2812
137	448	2804
138	451	2797
139	454	2789
140	457	2786
141	459	2773
142	461	2767
143	464	2759
144	467	2754
145	470	2749
146	472	2741
147	474	2733
148	477	2726
149	479	2717
150	481	2705
151	482	2693
152	484	2681
153	485	2669
154	487	2658
155	489	2649
156	491	2641
157	493	2632
158	495	2623
159	497	2614
160	499	2601
161	501	2594
162	503	2587
163	505	2576
164	507	2568
165	509	2559
166	511	2550
167	513	2542
168	515	2532
169	517	2527
170	519	2519
171	521	2509
172	523	2502
173	525	2493
174	526	2484
175	528	2474
176	530	2466
177	532	2457
178	534	2449
179	535	2441
180	537	2434
181	539	2424
182	541	2415
183	542	2405
184	544	2397
185	546	2389
186	548	2382
187	550	2376
188	552	2369
189	553	2361
190	555	2353
191	557	2346
192	559	2339
193	561	2331
194	562	2324
195	564	2316
196	566	2309
197	568	2302
198	570	2294
199	571	2285
200	572	2276
201	574	2268
202	576	2261
203	576	2250
204	577	2240
205	578	2229
206	579	2219
207	580	2208
208	580	2197
209	581	2187
210	581	2176
211	582	2165
212	583	2154
213	583	2144
214	584	2133
215	584	2122
216	585	2112
217	586	2102
218	586	2091
219	587	2082
220	587	2072
221	588	2061
222	588	2051
223	589	2041
224	589	2031
225	590	2021
226	591	2012
227	591	2004
228	592	1996
229	593	1987
230	594	1979
231	595	1969
232	595	1960
233	596	1951
234	596	1941
235	597	1932
236	598	1925
237	598	1916
238	599	1908
239	599	1899
240	600	1890
241	600	1882
242	601	1873
243	601	1864
244	602	1856
245	603	1848
246	603	1840
247	604	1832
248	604	1824
249	605	1816
250	606	1809
251	607	1803
252	608	1796
253	609	1789
254	609	1781
255	610	1774
256	611	1766
257	611	1759
258	612	1752
259	613	1744
260	613	1737
261	614	1729
262	614	1722
263	615	1715
264	615	1707
265	616	1701
266	617	1694
267	617	1687
268	618	1680
269	619	1674
270	619	1667
271	620	1660
272	621	1655
273	622	1649
274	623	1643
275	624	1637
276	625	1632
277	626	1626
278	626	1619
279	627	1613
280	628	1607
281	628	1600
282	629	1594
283	630	1588
284	631	1583
285	632	1577
286	632	1572
287	633	1566
288	634	1560
289	635	1555
290	636	1550
291	637	1545
292	638	1541
293	639	1536
294	640	1531
295	642	1527
296	643	1522
297	644	1517
298	645	1513
299	646	1508
300	647	1503
301	649	1500
302	650	1496
303	651	1492
304	653	1488
305	655	1486
306	657	1483
307	658	1479
308	659	1474
309	660	1470
310	662	1467
311	663	1463
312	665	1459
313	666	1456
314	668	1453
315	670	1450
316	671	1447
317	673	1443
318	674	1440
319	676	1437
320	678	1434
321	679	1431
322	680	1427
323	682	1423
324	683	1420
325	684	1415
326	686	1412
327	687	1408
328	688	1404
329	689	1400
330	691	1396
331	693	1394
332	694	1391
333	696	1388
334	698	1386
335	700	1384
336	702	1382
337	704	1378
338	705	1375
339	706	1372
340	708	1368
341	709	1365
342	710	1361
343	712	1359
344	715	1357
345	716	1355
346	718	1352
347	720	1349
348	721	1346
349	723	1343
350	725	1340
351	726	1336
352	728	1335
353	730	1333
354	732	1331
355	734	1328
356	735	1325
357	737	1322
358	739	1320
359	741	1318
360	743	1316
361	746	1314
362	747	1312
363	749	1308
364	751	1306
365	753	1304
366	754	1301
367	755	1298
368	757	1295
369	759	1292
370	761	1290
371	762	1287
372	764	1285
373	766	1282
374	767	1279
375	768	1275
